parcela,HTR1A,HTR2A,HTR2C,DRD1,DRD2,DRD3,SLC6A4,SLC6A2,SLC6A3,CHRM1,HRH1,OPRK1,OPRM1
P017,-1.1061,0.1104,1.0641,-1.2596,-0.4862,-1.4542,-2.0215,0.9596,-2.4207,-1.8524,0.0806,1.2586,-1.2826
P018,0.2206,-1.2207,0.2802,-0.1325,-0.7379,0.0676,-0.0610,-0.6492,-0.3840,0.0797,-0.9225,-0.4311,0.7539
P019,-0.4993,-0.6114,0.0555,-0.0598,-0.4415,-0.0491,-0.8648,-0.1819,-0.8059,-0.8564,0.2047,0.6087,-0.3438
P020,-0.4589,-0.4858,-0.2119,0.3868,0.2185,-1.2437,-1.6737,1.1422,-1.3349,-1.8991,0.5990,1.8392,-1.8171
P021,-0.3067,0.0388,0.1837,0.5662,0.2907,0.0294,0.3340,-0.4512,0.6023,0.2197,0.0404,-0.1699,-0.0329
P022,1.2235,-0.5305,-0.9110,-0.1082,-0.6575,0.6711,0.6995,0.0894,0.2724,0.6807,-0.7590,-0.5468,1.3154
P023,-0.1420,0.0663,-0.6380,0.3207,0.1403,-0.6188,-1.4107,1.1618,-0.8733,-1.6369,0.9489,1.8652,-1.5702
P024,0.8553,1.2347,-1.8146,-1.6331,-1.4387,1.9689,-0.6679,1.9924,-1.0026,-0.5878,0.0774,1.0701,0.5389
P025,-0.6412,-1.3521,1.1343,0.8775,0.1372,-0.7371,-0.0510,-1.2846,0.1772,-0.0325,-1.0699,-0.5322,-0.1162
P026,-0.4916,0.4960,0.0272,0.4553,0.3146,0.1911,0.1245,-0.1708,0.5845,0.0681,0.8399,0.2487,-0.2655
P027,-0.4534,-0.0142,-0.1786,-0.7750,-0.4174,-0.4764,-1.5981,1.2667,-1.7962,-1.7342,0.0214,1.4129,-1.1414
P028,-0.2931,-0.5221,-0.1019,-0.0382,-0.4980,0.2467,-0.4913,-0.2250,-0.4664,-0.4779,0.0794,0.3491,0.0208
P029,0.8149,0.5538,-0.3205,0.2240,0.4864,0.2183,1.1298,-0.3436,1.0359,0.8763,-0.0821,-0.7647,0.5680
P030,-0.7810,-1.0033,0.7940,-0.2800,-0.4469,-0.7811,-1.3549,-0.5021,-1.4394,-1.2218,0.0998,0.6219,-0.5994
P031,-0.4458,-0.3856,-0.1624,-0.0491,-0.4037,0.0648,-0.8613,0.0223,-0.7315,-0.8914,0.3721,0.7576,-0.4249
P032,-1.5999,-0.5179,1.1887,1.4541,0.8191,-0.9689,-0.3762,-0.6904,0.4486,-0.2984,0.3736,0.2834,-1.1206
P033,1.2337,0.7758,-1.7683,-1.6212,-1.7432,2.0686,-0.2898,1.8242,-0.9068,-0.0328,-0.1403,0.5998,1.2795
P034,1.9904,-0.4968,-1.6488,-0.9902,-1.7472,1.4834,0.5400,1.3173,-0.4169,0.9255,-0.8648,-0.3489,2.3140
P035,-0.8532,0.3101,-0.4823,-0.6538,0.2881,-1.7837,-2.1295,3.9251,-2.3627,-2.4988,-0.6596,2.5711,-2.7107
P036,-0.3015,-1.0350,0.3772,0.1463,-0.4456,-0.0711,-0.3087,-0.7062,-0.3558,-0.2424,-0.4556,-0.0954,0.2118
P037,-0.5209,-0.7950,0.6244,0.7507,0.1460,-0.3532,0.0642,-0.8643,0.2971,0.0140,-0.5837,-0.3053,-0.0849
P038,0.0617,1.1389,0.2072,0.2686,0.8072,0.1406,0.9479,-0.3036,1.1198,0.7574,0.6031,-0.4890,0.0646
P039,0.3420,0.5879,0.1356,0.4531,0.7111,-0.0403,1.0207,-0.5176,1.0808,0.7680,-0.2120,-0.7588,0.2156
P040,-0.2734,-0.6247,0.2987,-0.8371,-0.8646,0.0163,-1.0469,-0.0774,-1.4042,-0.9066,-0.1509,0.4547,-0.0197
P041,0.0720,0.2611,-0.1536,0.3374,0.1858,0.2931,0.5103,-0.2819,0.6626,0.3733,0.1680,-0.2091,0.2342
P042,2.2710,-1.1363,-1.0574,0.2996,-0.2808,-0.0528,1.4062,-0.0802,0.7737,1.2679,-2.0593,-1.4860,1.6688
P043,1.7913,1.2106,-1.4087,-2.7778,-2.4227,2.3076,-0.6371,3.2217,-1.8717,-0.1434,-0.9326,0.5895,1.5125
P044,-1.0046,0.6744,1.2468,1.0506,1.2473,-0.6327,0.6480,-0.6937,1.1566,0.5162,-0.2873,-0.5758,-0.6789
P045,-0.0635,1.2841,1.2726,0.8303,1.8093,-0.9590,1.4360,-1.2065,1.6106,1.0970,-1.1780,-1.6004,-0.5234
P046,-1.2264,0.3807,0.6334,1.0528,0.7788,-0.5213,-0.3041,-0.1486,0.5862,-0.2258,1.2935,0.6259,-1.0740
P047,-0.0628,0.0205,0.8719,1.0148,0.9717,-0.6974,0.9091,-1.0250,1.1374,0.6349,-1.3454,-1.0705,-0.1925
P048,0.4943,0.0884,-0.9679,-0.4356,-0.8017,1.0625,0.0167,0.3549,-0.1355,0.0389,0.1834,0.2511,0.7258
P049,0.6554,0.0476,0.6424,0.9765,1.1235,-0.8724,1.2879,-1.1816,1.3517,0.8970,-1.9509,-1.5605,-0.0283
P050,-0.6007,-0.6657,0.1807,-0.1245,-0.3899,-0.3495,-1.1602,-0.0686,-1.1220,-1.1615,0.2457,0.8124,-0.6300
P051,0.7338,-0.0858,-0.9275,-0.2601,-0.6798,0.9282,0.3449,0.2045,0.1199,0.3369,-0.0774,-0.0700,0.9468
P052,0.0552,0.1276,-0.3385,0.2041,-0.0818,0.4580,0.2824,-0.1693,0.4197,0.1930,0.2670,0.0011,0.2777
P053,0.7671,-1.3172,0.8719,0.9971,0.4172,-1.0513,0.8889,-1.3648,0.8771,0.6664,-2.6511,-1.5653,0.3167
P054,1.0035,-0.0641,-0.3038,0.4276,0.3469,-0.0054,1.1191,-0.5051,0.9520,0.8521,-0.9101,-0.9863,0.6783
P055,-0.4981,2.8140,1.2081,-0.2808,1.6531,0.0927,1.3031,-0.1180,1.4650,1.2585,2.0929,-0.6750,-0.3439
P056,1.2459,0.7912,0.0638,0.3894,1.3829,-0.6514,1.7776,-1.0543,1.5380,1.3794,-1.0409,-1.8485,0.2771
P057,0.0126,0.1822,-0.6751,-0.1451,-0.4697,0.7459,-0.2037,0.1639,-0.0703,-0.2308,0.5441,0.4787,0.1788
P058,-0.2871,0.4587,0.0748,0.4520,0.3762,0.1720,0.3966,-0.2815,0.7178,0.2858,0.4723,-0.0615,-0.0657
P059,1.0800,-0.5021,0.4234,0.9830,0.8477,-0.9196,1.2952,-1.1844,1.2545,0.9059,-2.4221,-1.6918,0.2338
P060,-0.1641,-0.6116,-0.0922,-0.1179,-0.5933,0.3027,-0.3937,-0.2628,-0.4668,-0.3561,-0.1040,0.2025,0.2174
P061,0.0322,-0.5964,0.3243,0.6384,0.1530,-0.1961,0.4617,-0.7500,0.5352,0.3316,-0.8753,-0.5901,0.2467
P062,-0.0674,-0.4210,-0.1139,0.2370,-0.2615,0.2686,0.0634,-0.3637,0.1157,0.0195,-0.1521,-0.0529,0.2797
P063,-1.4320,-1.2504,0.9987,1.6026,0.6756,-1.5521,-1.1551,-0.5378,-0.2795,-1.0428,0.8948,0.9690,-1.5747
P064,0.8482,0.3066,0.3413,0.7483,1.0969,-0.6535,1.4046,-1.0151,1.3620,1.0155,-1.4995,-1.5169,0.1498
P065,-1.4654,-0.3026,1.1017,1.3201,0.8046,-0.7963,-0.1980,-0.6591,0.5561,-0.1599,0.2906,0.1610,-0.9719
P066,-1.5428,-1.7284,1.3169,1.5119,0.5231,-1.7408,-1.2959,-0.9495,-0.5669,-1.1337,0.5388,0.7733,-1.4428
P067,-0.0166,0.7539,-0.9094,-1.3906,-0.6958,0.3483,-1.4877,2.3521,-1.8446,-1.7130,-0.3372,1.6048,-0.9755
P068,-1.6517,-1.4264,1.3369,1.5876,0.6216,-1.4481,-0.9423,-0.9671,-0.1422,-0.7959,0.3841,0.5336,-1.3038
P069,0.2630,-1.1643,0.1189,1.8390,1.1232,-2.8496,-1.8739,1.6273,-0.9432,-2.0820,1.4757,2.6284,-2.8023
P070,1.0027,0.4320,-0.8501,-2.0703,-1.8473,1.5337,-0.6855,1.7256,-1.6280,-0.3686,-0.6067,0.4615,1.0548
P071,0.2026,0.8175,-1.2865,-0.8358,-0.7204,0.9660,-0.9725,1.3491,-0.8846,-1.0933,0.4995,1.3580,-0.4085
P072,1.1234,-1.0012,-0.1849,-1.2557,-1.6978,0.7594,-0.0679,0.3130,-1.0298,0.4091,-1.0905,-0.4652,1.7403
P073,0.2489,0.2230,-0.8806,-0.3408,-0.6538,0.9668,-0.1290,0.3103,-0.1217,-0.1350,0.4366,0.4283,0.4264
P074,1.4550,-0.1536,-1.4981,-0.9409,-1.4920,1.5130,0.3019,1.0316,-0.3875,0.5470,-0.4454,-0.0610,1.7454
P075,0.6310,-0.6739,-0.1368,-1.2486,-1.4737,0.7533,-0.4131,0.2590,-1.1741,-0.0769,-0.6907,-0.0872,1.1391
P076,0.5578,1.2593,-0.4438,-0.1396,0.4056,0.6610,0.9326,0.0101,1.0092,0.7816,1.1419,-0.2522,0.4729
P077,1.2052,-0.4302,-0.5860,0.2789,-0.0783,0.2066,0.9954,-0.3069,0.7013,0.8134,-1.0231,-0.8849,1.0030
P078,-0.1789,-0.9600,0.2429,-0.1714,-0.6669,0.0948,-0.4354,-0.5272,-0.6139,-0.3289,-0.3928,0.0035,0.3205
P079,-2.4922,3.2660,2.9726,0.6187,2.6694,-0.7673,1.0875,-0.0779,1.6908,1.2621,0.8277,-0.8756,-1.6046
P080,0.5169,0.8265,-1.3644,-0.6327,-0.7551,1.4227,-0.0912,0.6852,-0.0055,-0.0686,0.8828,0.6615,0.5385
P081,-0.3387,-0.5612,0.0006,-0.3733,-0.6437,0.1112,-0.8753,-0.0664,-0.9859,-0.8363,0.0538,0.5530,-0.1514
P082,-0.9645,-0.8589,1.2163,1.1985,0.5685,-0.8124,0.0823,-1.1332,0.5356,0.0363,-0.8556,-0.4483,-0.4741
P083,1.4926,1.9742,-0.2178,-1.3156,1.3314,0.2448,2.1157,-0.5129,1.3992,2.0916,2.8957,-1.5989,1.0606
P084,-2.3395,0.5264,-0.6767,-3.3024,2.7615,-1.1322,2.7716,-0.2474,1.4785,3.7773,0.8064,-3.6964,-0.1300
P085,-0.4730,0.9728,-0.2594,0.3819,0.3227,0.1850,-0.3735,0.2557,0.4557,-0.3246,1.8573,0.9919,-0.7263
P086,-0.2466,-0.4497,0.3141,-1.0980,-0.9313,0.0095,-1.1784,0.1481,-1.6268,-1.0293,-0.1632,0.5502,-0.0817
P087,-0.4288,-0.3673,0.0877,0.4303,-0.0679,0.0775,-0.1082,-0.4280,0.1285,-0.1507,0.1084,0.1224,-0.0719
P088,-1.1950,-0.9116,0.6672,1.1096,0.3631,-0.9473,-0.9322,-0.5188,-0.2690,-0.8899,0.6964,0.7781,-1.1423
P089,0.4527,-0.0799,-0.7260,-1.0536,-1.2413,1.0493,-0.5045,0.6588,-0.9761,-0.3694,-0.2101,0.3961,0.6889
P090,-0.3118,2.1126,0.7925,0.0288,1.3347,0.0669,1.1392,-0.2063,1.3551,1.0194,1.4132,-0.5705,-0.2304
P091,-0.3311,0.7013,1.6413,1.2998,1.7738,-1.2797,1.2034,-1.4052,1.5871,0.8564,-2.0478,-1.6008,-0.7745
P092,-2.0010,0.4069,1.7489,1.5555,1.4425,-1.0526,0.0866,-0.5106,1.0163,0.1878,0.2345,-0.0503,-1.3405
P093,-0.3077,2.9945,1.5896,-1.5928,2.4761,-0.7358,2.2823,-1.6431,1.5658,2.5783,3.5893,-2.4751,0.0542
P094,0.2181,0.4556,-0.9877,-0.3812,-0.6191,1.0427,-0.2036,0.4204,-0.1001,-0.2149,0.6804,0.5956,0.3053
P095,-0.7270,-1.1620,1.1113,0.9917,0.2837,-0.7341,0.0121,-1.2106,0.3166,-0.0051,-0.9879,-0.4959,-0.2299
P096,-1.5887,-1.3729,1.7878,1.5851,0.7077,-1.3086,-0.3333,-1.4103,0.3532,-0.2410,-0.7581,-0.2708,-0.8918
P097,1.3819,1.0377,-2.0529,-1.0129,-1.0833,2.0334,0.3806,1.1300,0.1903,0.5139,0.8977,0.4331,1.3848
P098,-1.7136,-2.2037,1.6522,2.4399,1.1139,-2.7330,-1.5916,-0.6427,-0.4627,-1.3000,1.0522,1.2220,-2.1803
P099,-1.0840,-0.4809,0.5969,0.9596,0.3628,-0.4994,-0.4135,-0.5591,0.1753,-0.4044,0.4559,0.3791,-0.7408
P100,-0.0854,-0.3883,-0.0759,0.2972,-0.1882,0.2291,0.1130,-0.3918,0.1917,0.0559,-0.1570,-0.0860,0.2509
